times,HRs1,glob,40,10,421.4483181
times,HRs1,glob,40,10,490.6196518
times,HRs1,glob,40,10,402.1776019
times,HRs1,glob,40,10,437.9954438
times,HRs1,glob,40,10,401.7699018
times,HRs1,glob,40,10,422.1971468
times,HRs1,glob,40,10,443.3481979
times,HRs1,glob,40,10,390.1863453
times,HRs1,glob,40,10,445.9417609
times,HRs1,glob,40,10,456.3580129
bounds,lbs,loc,40,60,0.49838998913764954
bounds,lbs,loc,40,60,0.4907185733318329
bounds,HRs1,loc,30,30,0.8885113558327152
bounds,HRs1,loc,30,30,0.7527503668090331
times,lp3,loc,20,40,0.8072657000002437
times,lp3,loc,20,40,0.9119058000001132
times,HRs,loc,40,80,4.857528
times,HRs,loc,40,80,3.0691468
times,HRs,loc,40,80,2.6187814
times,HRs,loc,40,80,3.0037269
times,HRs,loc,40,80,3.8668808
times,HRs,loc,40,80,3.0841425
times,HRs,loc,40,80,3.7220479
times,HRs,loc,40,80,3.4360189
times,HRs,loc,40,80,4.8819321
times,HRs,loc,40,80,3.1498644
times,HRs,loc,5,16,0.2896353
times,HRs,loc,5,16,0.3566048
times,HRs,loc,5,16,0.3296127
times,HRs,loc,5,16,0.3810072
times,HRs,loc,5,16,0.2781853
times,HRs,loc,5,16,0.258054
times,HRs,loc,5,16,0.2541744
times,HRs,loc,5,16,0.2958206
times,HRs,loc,5,16,0.4628474
times,HRs,loc,5,16,0.3678775
bounds,lp3,loc,30,60,2.4937118295646896
bounds,lp3,loc,30,60,1.9647000324201813
bounds,shor,loc,20,12,0.09940909091479817
bounds,shor,loc,20,12,0.21406670027239233
bounds,shor,loc,20,12,0.1951191454302329
bounds,shor,loc,20,12,0.15948343497762196
bounds,shor,loc,20,12,0.20576419819016156
bounds,shor,loc,20,12,0.230748311343179
bounds,shor,loc,20,12,0.1480989431134873
bounds,shor,loc,20,12,0.17627451274105735
bounds,shor,loc,20,12,0.23119658891950057
bounds,shor,loc,20,12,0.5025782371563015
bounds,HRs,loc,40,60,0.8754430886229814
bounds,HRs,loc,40,60,1.3123731337777045
bounds,HRs,loc,40,60,0.8740627005607623
bounds,HRs,loc,40,60,1.236327666663372
bounds,HRs,loc,40,60,1.3099035056330575
bounds,HRs,loc,40,60,1.022008628535704
